AMBTEMP,COUGM3,NO2UGM3,O3UGM3,PM25,RAINFALL,SO2UGM3,UV_INDEX,test_clasiffier
10.5,-0.1,16.2,12.1,3.71,0,0.2,0,2
9.8,0,20.9,6.6,4.22,0,0,0,3
9.2,0.5,24.5,5.2,6.31,0,1,0.022476921,1
11.2,1,29.3,8.3,7.51,0,2.1,0.546664759,2
13.9,0.4,29,27,5.37,0,2.2,2.260683223,3
15,0,14.8,54.3,3.56,0,-1.4,5.180489052,1
16.4,0,11.3,61.8,3.57,0,-1.8,8.570229267,2
17.2,-0.1,9,68,3.17,0,-1.5,11.1252388,3
18.4,0,11.6,67.2,3.54,0,-1.6,11.57956741,1
18.8,-0.1,10.3,70.6,3.38,0,-1.7,10.40190242,2
18.8,-0.1,9.6,71.5,3.44,0,-1.6,7.59320058,3
18.6,0,12.6,74.7,3.78,0,-1.7,4.516270314,1
18.4,0,15.4,73.8,3.78,0,-1.7,1.815397498,2
17,0,19.2,64.8,4.09,0,-1.7,0.369028,3
15.3,0.2,34.7,42,7.03,0,-1.2,0.004246967,1
14.5,0.3,39,34.1,8.33,0,-0.8,0,2
14.1,0.2,35.2,32,6.43,0,-0.9,0,3
13.2,0.3,40.6,17.2,9.07,0,-0.6,0,1
11.7,0.4,43,9.1,11.51,0,-0.5,0,2
10.7,0.2,36.9,10.7,9.04,0,-1.1,0,3
10.1,0.1,29.6,13,10.62,0,3.3,0,1
10.1,0,25.7,14.6,9.76,0,4.7,0,2
9.1,0.1,27.4,8.7,9.45,0,2.3,0,3
8.3,0,22.8,10.7,8.81,0,1.4,0,1
7.5,0,23.3,8.4,10.95,0,-0.1,0,2
6.8,0,22.9,5.2,11.03,0,-1,0,3
6.7,0.5,26.1,5.2,10.29,0,2.1,0.024841306,1
9.3,0.9,31.8,7.7,11.54,0,4,0.551903182,2
11.5,0.5,29,25.5,9.47,0,6.8,2.074396124,3
14.2,0.1,24,48.1,8.43,0,5.2,4.937616922,1
16.5,0,15.7,70.6,5.55,0,1,8.598566033,2
18,-0.1,12.8,77.3,4.29,0,-1.3,11.16763256,3
19.8,-0.1,10.4,68.6,3.54,0,-1.5,11.99078584,1
19.6,-0.1,8.5,59.6,3.6,0,-1.5,7.418966964,2
18.6,0,10.3,55.7,3.38,0,-1.5,5.347024491,3
18.7,0,10.3,53.6,3.29,0,-1.8,4.532973983,1
17.6,0,14.1,49.8,3.68,0,-1.4,1.637428855,2
16.4,0.1,18.2,43.3,3.95,0,-1.2,0.321292058,3
